"Work Item Type","Title 1","Title 2","Title 3","Description","Acceptance Criteria","Story Points","Tags","Priority","State","Area Path","Iteration Path","Assigned To"
"Epic","Toegang En Authenticatie","","","<p>For (Who): inwoner (ingelogde burger via DigiD)</p><p>The (Is a): Inwonerportaal Verius Samen</p><p>That: veilige, herleidbare toegang tot het eigen dossier met sessiebeheer en herkenbare navigatie</p><p>Our solution: DigiD-authenticatie, automatisch en handmatig sessiebeheer en een vaste, configureerbare portaalstructuur</p><p>Success criteria:</p><ul><li>Portaal uitsluitend toegankelijk na succesvolle DigiD-authenticatie</li><li>Na inloggen alleen gegevens van de ingelogde inwoner (op BSN) zichtbaar</li><li>Sessie wordt na inactiviteit automatisch beeindigd</li><li>Vaste menustructuur en huisstijl, responsive op desktop/tablet/smartphone</li></ul><p>In scope: DigiD-login, sessiebeheer, navigatie en huisstijl voor het X-Works-portaal</p><p>Out of scope: alternatieve WIZ-inlog (Epic 10), eHerkenning (vervallen)</p>","","","inwonerportaal; toegang; authenticatie; epic-1","1","New","Verius","Verius",""
"Feature","","Inloggen Met DigiD","","<p>Levert veilige, herleidbare toegang tot het inwonerportaal via DigiD-authenticatie. Binnen Epic 1 is dit de toegangspoort: zonder geslaagde DigiD-inlog is geen dossiergegeven zichtbaar, en getoonde data is altijd herleidbaar tot de ingelogde inwoner op basis van BSN.</p>","<ul><li>Portaal is uitsluitend toegankelijk na succesvolle DigiD-authenticatie</li><li>Na inloggen worden uitsluitend gegevens van de ingelogde inwoner (op basis van BSN) getoond</li><li>Bij mislukte of afgebroken authenticatie krijgt de inwoner geen toegang tot dossiergegevens</li></ul>","","inwonerportaal; toegang; authenticatie; epic-1; digid","1","New","Verius","Verius",""
"User Story","","","S1.1.1: Inloggen met DigiD","<p>Als inwoner</p><p>Ik wil inloggen met DigiD</p><p>Zodat ik veilig en herleidbaar toegang krijg tot mijn eigen dossier</p>","<ul><li>Het portaal is uitsluitend toegankelijk na succesvolle DigiD-authenticatie</li><li>Na inloggen worden uitsluitend gegevens van de ingelogde inwoner (op basis van BSN) getoond</li><li>Bij mislukte of afgebroken authenticatie krijgt de inwoner geen toegang tot dossiergegevens</li></ul>","5","inwonerportaal; toegang; authenticatie; epic-1; digid","1","New","Verius","Verius",""
"Feature","","Sessiebeheer","","<p>Beschermt de gegevens van de inwoner door sessies na inactiviteit automatisch te beeindigen en een handmatige afmeldoptie te bieden. Dit borgt de veiligheid van het dossier wanneer een apparaat onbeheerd achterblijft.</p>","<ul><li>Resterende sessietijd wordt getoond aan de inwoner</li><li>Na verstrijken van de sessietijd wordt de inwoner automatisch afgemeld</li><li>Op elke pagina is een knop Afmelden beschikbaar</li><li>Na afmelden zijn dossiergegevens niet meer toegankelijk zonder opnieuw in te loggen</li></ul>","","inwonerportaal; toegang; authenticatie; epic-1; sessie","2","New","Verius","Verius",""
"User Story","","","S1.2.1: Sessie automatisch beeindigen na inactiviteit","<p>Als inwoner</p><p>Ik wil dat mijn sessie automatisch wordt beeindigd na inactiviteit</p><p>Zodat mijn gegevens beschermd zijn</p>","<ul><li>Er wordt een resterende sessietijd getoond (... tot uw sessie automatisch wordt beeindigd)</li><li>Na verstrijken van de sessietijd wordt de inwoner automatisch afgemeld</li><li>Na automatische afmelding zijn dossiergegevens niet meer toegankelijk zonder opnieuw in te loggen</li></ul>","2","inwonerportaal; toegang; authenticatie; epic-1; sessie","2","New","Verius","Verius",""
"User Story","","","S1.2.2: Handmatig afmelden","<p>Als inwoner</p><p>Ik wil handmatig kunnen afmelden</p><p>Zodat ik mijn sessie zelf kan afsluiten</p>","<ul><li>Er is op elke pagina een knop Afmelden beschikbaar</li><li>Na afmelden zijn dossiergegevens niet meer toegankelijk zonder opnieuw in te loggen</li><li>Bij het opnieuw benaderen van een dossierpagina na afmelden wordt de inwoner teruggeleid naar de DigiD-login</li></ul>","2","inwonerportaal; toegang; authenticatie; epic-1; sessie","2","New","Verius","Verius",""
"Feature","","Portaalstructuur En Navigatie","","<p>Biedt een vaste, herkenbare menustructuur (Mijn overzicht en Zelf regelen) met gemeentelijke huisstijl en responsive weergave. Dit maakt het portaal vindbaar en herkenbaar en voorkomt lege of verwarrende schermen voor niet-toepasbare modules.</p>","<ul><li>Hoofdmenu Mijn overzicht toont submenu's: Persoonlijke gegevens, Lopende zaken, Wmo, Jeugdwet, Uitkering(en), Documenten</li><li>Hoofdmenu Zelf regelen toont submenu Aanvragen</li><li>Gemeentenaam/huisstijl (logo, Loket Sociaal Domein) is zichtbaar in de header</li><li>Portaal is responsive voor desktop, tablet en smartphone</li><li>Modules zonder gegevens tonen een duidelijke lege staat in plaats van een fout</li></ul>","","inwonerportaal; toegang; authenticatie; epic-1; navigatie; huisstijl","2","New","Verius","Verius",""
"User Story","","","S1.3.1: Vaste herkenbare menustructuur tonen","<p>Als inwoner</p><p>Ik wil een vaste, herkenbare menustructuur</p><p>Zodat ik mijn weg makkelijk vind</p>","<ul><li>Het portaal toont een hoofdmenu Mijn overzicht met submenu's: Persoonlijke gegevens, Lopende zaken, Wmo, Jeugdwet, Uitkering(en), Documenten</li><li>Het portaal toont een hoofdmenu Zelf regelen met submenu: Aanvragen</li><li>De gemeentenaam/huisstijl (logo, Loket Sociaal Domein) is zichtbaar in de header</li><li>Het portaal is responsive en geschikt voor desktop, tablet en smartphone</li></ul>","3","inwonerportaal; toegang; authenticatie; epic-1; navigatie","2","New","Verius","Verius",""
"User Story","","","S1.3.2: Niet-toepasbare menu-items passend afhandelen","<p>Als inwoner</p><p>Ik wil dat menu-items die voor mij niet van toepassing zijn passend worden afgehandeld</p><p>Zodat ik geen lege of verwarrende schermen zie</p>","<ul><li>Modules zonder gegevens tonen een duidelijke lege staat (bijv. Geen ... gevonden) in plaats van een fout</li><li>De inwoner krijgt bij een lege module geen technische foutmelding te zien</li><li>Aandachtspunt voor latere klantbevindingen: tonen/verbergen van lege modules</li></ul>","2","inwonerportaal; toegang; authenticatie; epic-1; navigatie","2","New","Verius","Verius",""
"User Story","","","S1.3.3: Portaal aanpassen aan gemeentelijke huisstijl","<p>Als gemeente</p><p>Ik wil het portaal kunnen aanpassen aan onze huisstijl</p><p>Zodat het herkenbaar bij onze gemeente past</p>","<ul><li>Naast logo en gemeentenaam zijn ook lettertype en kleurstelling instelbaar</li><li>Wijzigingen in de huisstijl zijn zichtbaar in het volledige portaal</li><li>Bevinding Westerkwartier #27 (look and feel / huisstijl uitbreiden) is afgedekt</li></ul>","3","inwonerportaal; toegang; authenticatie; epic-1; huisstijl","2","New","Verius","Verius",""
